path,emotion,source,intensity,augment_flag
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0002/Happy/0002_000926.wav,happy,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0017/Happy/0017_000731.wav,happy,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0005/Surprise/0005_001624.wav,surprise,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0009/Angry/0009_000550.wav,angry,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0018/Angry/0018_000593.wav,angry,ESD,normal,False
/kaggle/input/cremad/AudioWAV/1059_IEO_SAD_MD.wav,sad,CREMA-D,medium,False
/kaggle/input/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/YAF_disgust/YAF_vote_disgust.wav,disgust,TESS,normal,False
/kaggle/input/cremad/AudioWAV/1071_DFA_HAP_XX.wav,happy,CREMA-D,unspecified,False
/kaggle/input/cremad/AudioWAV/1050_IEO_FEA_HI.wav,fear,CREMA-D,high,False
/kaggle/input/cremad/AudioWAV/1035_TIE_DIS_XX.wav,disgust,CREMA-D,unspecified,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0008/Angry/0008_000465.wav,angry,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0020/Angry/0020_000427.wav,angry,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0001/Angry/0001_000546.wav,angry,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0009/Angry/0009_000559.wav,angry,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0007/Surprise/0007_001520.wav,surprise,ESD,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/OAF_disgust/OAF_voice_disgust.wav,disgust,TESS,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0003/Surprise/0003_001645.wav,surprise,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0016/Neutral/0016_000074.wav,neutral,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0017/Sad/0017_001137.wav,sad,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0008/Neutral/0008_000064.wav,neutral,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0019/Sad/0019_001171.wav,sad,ESD,normal,False
/kaggle/input/ravdess-emotional-speech-audio/Actor_13/03-01-02-02-02-02-13.wav,neutral,RAVDESS,strong,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0005/Sad/0005_001367.wav,sad,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0004/Sad/0004_001315.wav,sad,ESD,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/YAF_fear/YAF_witch_fear.wav,fear,TESS,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/YAF_sad/YAF_sail_sad.wav,sad,TESS,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0013/Sad/0013_001257.wav,sad,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0006/Happy/0006_000756.wav,happy,ESD,normal,False
/kaggle/input/cremad/AudioWAV/1074_IWW_FEA_XX.wav,fear,CREMA-D,unspecified,False
/kaggle/input/cremad/AudioWAV/1088_IEO_HAP_MD.wav,happy,CREMA-D,medium,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0015/Surprise/0015_001512.wav,surprise,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0005/Surprise/0005_001688.wav,surprise,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0020/Angry/0020_000616.wav,angry,ESD,normal,False
/kaggle/input/cremad/AudioWAV/1013_IEO_DIS_MD.wav,disgust,CREMA-D,medium,False
/kaggle/input/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/YAF_fear/YAF_king_fear.wav,fear,TESS,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0012/Surprise/0012_001683.wav,surprise,ESD,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/YAF_neutral/YAF_goal_neutral.wav,neutral,TESS,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0013/Sad/0013_001070.wav,sad,ESD,normal,False
/kaggle/input/cremad/AudioWAV/1017_ITH_FEA_XX.wav,fear,CREMA-D,unspecified,False
/kaggle/input/cremad/AudioWAV/1019_IWL_FEA_XX.wav,fear,CREMA-D,unspecified,False
/kaggle/input/ravdess-emotional-speech-audio/Actor_21/03-01-04-01-02-02-21.wav,sad,RAVDESS,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_disgust/YAF_mood_disgust.wav,disgust,TESS,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0006/Surprise/0006_001614.wav,surprise,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0019/Angry/0019_000575.wav,angry,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0001/Sad/0001_001130.wav,sad,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0016/Happy/0016_000819.wav,happy,ESD,normal,False
/kaggle/input/cremad/AudioWAV/1025_ITS_DIS_XX.wav,disgust,CREMA-D,unspecified,False
/kaggle/input/toronto-emotional-speech-set-tess/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_pleasant_surprised/YAF_ton_ps.wav,surprise,TESS,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_Fear/OAF_mop_fear.wav,fear,TESS,normal,False
/kaggle/input/ravdess-emotional-speech-audio/Actor_13/03-01-06-02-01-01-13.wav,fear,RAVDESS,strong,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0004/Happy/0004_000965.wav,happy,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0013/Angry/0013_000502.wav,angry,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0009/Happy/0009_000721.wav,happy,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0019/Neutral/0019_000207.wav,neutral,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0019/Neutral/0019_000230.wav,neutral,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0008/Sad/0008_001293.wav,sad,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0014/Neutral/0014_000079.wav,neutral,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0009/Sad/0009_001173.wav,sad,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0009/Surprise/0009_001508.wav,surprise,ESD,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/YAF_fear/YAF_gap_fear.wav,fear,TESS,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0019/Surprise/0019_001732.wav,surprise,ESD,normal,False
/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_09/03-01-07-02-02-02-09.wav,disgust,RAVDESS,strong,False
/kaggle/input/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/OAF_happy/OAF_merge_happy.wav,happy,TESS,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0002/Sad/0002_001371.wav,sad,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0001/Surprise/0001_001648.wav,surprise,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0006/Happy/0006_000730.wav,happy,ESD,normal,False
/kaggle/input/ravdess-emotional-speech-audio/Actor_03/03-01-05-02-01-01-03.wav,angry,RAVDESS,strong,False
/kaggle/input/ravdess-emotional-speech-audio/Actor_24/03-01-06-02-01-01-24.wav,fear,RAVDESS,strong,False
/kaggle/input/cremad/AudioWAV/1024_IOM_DIS_XX.wav,disgust,CREMA-D,unspecified,False
/kaggle/input/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-08-01-02-01-18.wav,surprise,RAVDESS,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0017/Surprise/0017_001586.wav,surprise,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0001/Surprise/0001_001687.wav,surprise,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0015/Neutral/0015_000073.wav,neutral,ESD,normal,False
/kaggle/input/cremad/AudioWAV/1070_WSI_DIS_XX.wav,disgust,CREMA-D,unspecified,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0006/Angry/0006_000616.wav,angry,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0019/Angry/0019_000695.wav,angry,ESD,normal,False
/kaggle/input/cremad/AudioWAV/1023_IEO_SAD_HI.wav,sad,CREMA-D,high,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0008/Happy/0008_000894.wav,happy,ESD,normal,False
/kaggle/input/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/OAF_Fear/OAF_tip_fear.wav,fear,TESS,normal,False
/kaggle/input/cremad/AudioWAV/1010_IOM_FEA_XX.wav,fear,CREMA-D,unspecified,False
/kaggle/input/cremad/AudioWAV/1027_WSI_DIS_XX.wav,disgust,CREMA-D,unspecified,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0003/Happy/0003_001037.wav,happy,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0018/Surprise/0018_001577.wav,surprise,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0004/Neutral/0004_000262.wav,neutral,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0010/Angry/0010_000523.wav,angry,ESD,normal,False
/kaggle/input/cremad/AudioWAV/1031_IWW_ANG_XX.wav,angry,CREMA-D,unspecified,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0019/Surprise/0019_001717.wav,surprise,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0009/Surprise/0009_001744.wav,surprise,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0009/Angry/0009_000422.wav,angry,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0009/Surprise/0009_001712.wav,surprise,ESD,normal,False
/kaggle/input/cremad/AudioWAV/1090_TAI_DIS_XX.wav,disgust,CREMA-D,unspecified,False
/kaggle/input/cremad/AudioWAV/1041_IWL_NEU_XX.wav,neutral,CREMA-D,unspecified,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0014/Angry/0014_000507.wav,angry,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0001/Surprise/0001_001736.wav,surprise,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0003/Happy/0003_001031.wav,happy,ESD,normal,False
/kaggle/input/datasets/nguyenthanhlim/emotional-speech-dataset-esd/Emotion Speech Dataset/0010/Angry/0010_000405.wav,angry,ESD,normal,False
/kaggle/input/ravdess-emotional-speech-audio/Actor_23/03-01-04-02-01-01-23.wav,sad,RAVDESS,strong,False
